site,Date,Q,LogQ,Julian,Month,Day,DecYear,MonthSeq
Buck Creek,01/10/2001,0.008211885,-4.802172729,55425,10,275,2001.7487442922375,1822
Buck Creek,02/10/2001,0.008495054,-4.768271178,55426,10,276,2001.7514840182648,1822
Buck Creek,03/10/2001,0.008211885,-4.802172729,55427,10,277,2001.7542237442922,1822
Buck Creek,04/10/2001,0.00736238,-4.911372021,55428,10,278,2001.7569634703195,1822
Buck Creek,05/10/2001,0.007645549,-4.873631693,55429,10,279,2001.7597031963471,1822
Buck Creek,06/10/2001,0.016706939,-4.091931115,55430,10,280,2001.7624429223745,1822
Buck Creek,07/10/2001,0.041342596,-3.185861938,55431,10,281,2001.7651826484018,1822
Buck Creek,08/10/2001,0.0368119,-3.301934109,55432,10,282,2001.7679223744292,1822
Buck Creek,09/10/2001,0.029732688687111222,-3.515508209,55433,10,283,2001.7706621004565,1822
Buck Creek,10/10/2001,0.025768330195496392,-3.658609053,55434,10,284,2001.773401826484,1822
Buck Creek,11/10/2001,0.020954466312821243,-3.865403466,55435,10,285,2001.7761415525115,1822
Buck Creek,12/10/2001,0.017839613212266733,-4.026333833,55436,10,286,2001.7788812785388,1822
Buck Creek,13/10/2001,0.017556445,-4.042334174,55437,10,287,2001.7816210045662,1822
Buck Creek,14/10/2001,0.019538623994387373,-3.935362055,55438,10,288,2001.7843607305936,1822
Buck Creek,15/10/2001,0.041625764,-3.179035973,55439,10,289,2001.787100456621,1822
Buck Creek,16/10/2001,0.030582194078171546,-3.487337332,55440,10,290,2001.7898401826485,1822
Buck Creek,17/10/2001,0.069093105,-2.672300334,55441,10,291,2001.7925799086759,1822
Buck Creek,18/10/2001,0.054368345,-2.911973187,55442,10,292,2001.7953196347032,1822
Buck Creek,19/10/2001,0.040493090307208615,-3.206623929,55443,10,293,2001.7980593607306,1822
Buck Creek,20/10/2001,0.035112889,-3.349186994,55444,10,294,2001.800799086758,1822
Buck Creek,21/10/2001,0.047005964972004405,-3.057480771,55445,10,295,2001.8035388127853,1822
Buck Creek,22/10/2001,0.07928717,-2.534678956,55446,10,296,2001.8062785388129,1822
Buck Creek,23/10/2001,0.043607943407763125,-3.132515957,55447,10,297,2001.8090182648402,1822
Buck Creek,24/10/2001,0.035962395,-3.325281473,55448,10,298,2001.8117579908676,1822
Buck Creek,25/10/2001,0.037095068742967335,-3.294271236,55449,10,299,2001.814497716895,1822
Buck Creek,26/10/2001,0.038227743,-3.264193781,55450,10,300,2001.8172374429223,1822
Buck Creek,27/10/2001,0.036245563,-3.317438295,55451,10,301,2001.8199771689497,1822
Buck Creek,28/10/2001,0.032281205,-3.433270111,55452,10,302,2001.8227168949772,1822
Buck Creek,29/10/2001,0.031431699,-3.459938358,55453,10,303,2001.8254566210046,1822
Buck Creek,30/10/2001,0.036528732,-3.309656155,55454,10,304,2001.828196347032,1822
Buck Creek,31/10/2001,0.04247527,-3.158833265,55455,10,305,2001.8309360730593,1822
Buck Creek,01/11/2001,0.12006342860319198,-2.119735104,55456,11,306,2001.8336757990867,1823
Buck Creek,02/11/2001,0.068809937,-2.676407116,55457,11,307,2001.8364155251143,1823
Buck Creek,03/11/2001,0.092312919,-2.382571178,55458,11,308,2001.8391552511416,1823
Buck Creek,04/11/2001,0.065411915,-2.727050849,55459,11,309,2001.841894977169,1823
Buck Creek,05/11/2001,0.058615872,-2.836749766,55460,11,310,2001.8446347031963,1823
Buck Creek,06/11/2001,0.049554481,-3.004682585,55461,11,311,2001.8473744292237,1823
Buck Creek,07/11/2001,0.049271313,-3.01041326,55462,11,312,2001.850114155251,1823
