site,Date,ConcLow,ConcHigh,Uncen,ConcAve,Julian,Month,Day,DecYear,MonthSeq,waterYear,SinDY,CosDY
Buck Creek,10/01/2006,3.8,3.8,1,3.8,56987,1,10,2006.0254566210047,1873,2006,0.15926752913192363,0.9872354603458143
Buck Creek,10/01/2017,4.71,4.71,1,4.71,61005,1,10,2017.0254566210047,2005,2017,0.15926752913191394,0.9872354603458159
Buck Creek,11/01/2005,3.815,3.815,1,3.815,56623,1,11,2005.028196347032,1861,2005,0.1762375675177652,0.9843476620561564
Buck Creek,12/01/2016,7.192,7.192,1,7.192,60641,1,12,2016.0308515482695,1993,2016,0.19263427207034825,0.9812706238464123
Buck Creek,12/01/2018,9.912,9.912,1,9.912,61372,1,12,2018.0309360730594,2017,2018,0.19315538290719636,0.9811681803105797
Buck Creek,12/01/2020,8.814,8.814,1,8.814,62102,1,12,2020.0308515482695,2041,2020,0.19263427206937117,0.981270624
Buck Creek,13/01/2004,14.322,14.322,1,14.322,56259,1,13,2004.0335837887067,1849,2004,0.20945070207604388,0.9778192079315339
Buck Creek,13/01/2015,3.966,3.966,1,3.966,60277,1,13,2015.0336757990867,1981,2015,0.21001596219016216,0.9776979572574244
Buck Creek,14/01/2003,3.619,3.619,1,3.619,55895,1,14,2003.036415525114,1837,2003,0.22681430920876247,0.9739380211995792
Buck Creek,14/01/2014,5.629,5.629,1,5.629,59913,1,14,2014.036415525114,1969,2014,0.22681430920875292,0.9739380211995814
Buck Creek,15/01/2013,6.857,6.857,1,6.857,59549,1,15,2013.0391552511417,1957,2013,0.24354544625601157,0.9698894862859171
Buck Creek,17/01/2012,4.194,4.194,1,4.194,59185,1,17,2012.0445127504554,1945,2012,0.2760498840634312,0.9611433095582397
Buck Creek,18/01/2011,3.019,3.019,1,3.019,58821,1,18,2011.0473744292237,1933,2011,0.2932861279575387,0.9560247105319372
Buck Creek,19/01/2010,3.34,3.34,1,3.34,58457,1,19,2010.050114155251,1921,2010,0.3096990682893374,0.9508346265785215
Buck Creek,02/01/2013,3.92,3.92,1,3.92,59536,1,2,2013.0035388127853,1957,2013,0.022233184391712187,0.9997528122049991
Buck Creek,20/01/2009,3.551,3.551,1,3.551,58093,1,20,2009.0528538812785,1909,2009,0.3260202381033452,0.94536279
Buck Creek,21/01/2020,4.43,4.43,1,4.43,62111,1,21,2020.055441712204,2041,2020,0.3413478948111453,0.939937027
Buck Creek,21/01/2021,4.219,4.219,1,4.219,62477,1,21,2021.055593607306,2053,2021,0.34224480108593847,0.9396108216328962
Buck Creek,22/01/2002,3.287,3.287,1,3.287,55538,1,22,2002.0583333333334,1825,2002,0.3583679495455675,0.9335804264970992
Buck Creek,22/01/2008,3.648,3.648,1,3.648,57729,1,22,2008.0581739526413,1897,2008,0.3574328653696521,0.9339388345890968
Buck Creek,22/01/2019,4.27,4.27,1,4.27,61747,1,22,2019.0583333333334,2029,2019,0.3583679495458621,0.9335804264969861
Buck Creek,23/01/2007,4.116,4.116,1,4.116,57365,1,23,2007.0610730593608,1885,2007,0.3743849058470606,0.9272733913328299
Buck Creek,23/01/2018,6.611,6.611,1,6.611,61383,1,23,2018.0610730593608,2017,2018,0.3743849058470515,0.9272733913328336
Buck Creek,24/01/2006,4.812,4.812,1,4.812,57001,1,24,2006.063812785388,1873,2006,0.39029092382245334,0.9206915850499644
Buck Creek,25/01/2005,3.282,3.282,1,3.282,56637,1,25,2005.0665525114155,1861,2005,0.40608129017394523,0.9138369579802866
Buck Creek,25/01/2017,5.729,5.729,1,5.729,61020,1,25,2017.0665525114155,2005,2017,0.4060812901728777,0.913836958
Buck Creek,26/01/2016,4.242,4.242,1,4.242,60655,1,26,2016.0691029143898,1993,2016,0.420672447,0.9072125947259663
Buck Creek,27/01/2004,11.638,11.638,1,11.638,56273,1,27,2004.0718351548269,1849,2004,0.43618397087158384,0.8998575129178493
Buck Creek,27/01/2015,3.256,3.256,1,3.256,60291,1,27,2015.0720319634704,1981,2015,0.4372963875554076,0.8993174464175543
Buck Creek,28/01/2003,2.938,2.938,1,2.938,55909,1,28,2003.0747716894978,1837,2003,0.4527118688794147,0.8916568643686357
Buck Creek,28/01/2014,2.838,2.838,1,2.838,59927,1,28,2014.0747716894978,1969,2014,0.45271186887940595,0.8916568643686401
Buck Creek,29/01/2013,3.33,3.33,1,3.33,59563,1,29,2013.0775114155251,1957,2013,0.4679932019063279,0.8837320651472724
Buck Creek,03/01/2012,5.615,5.615,1,5.615,59171,1,3,2012.0062613843352,1945,2012,0.03933129,0.9992262254342382
Buck Creek,31/01/2012,4.4,4.4,1,4.4,59199,1,31,2012.0827641165756,1945,2012,0.49689947379780774,0.8678081083623624
Buck Creek,04/01/2011,4.453,4.453,1,4.453,58807,1,4,2011.0090182648403,1933,2011,0.056633112,0.9983950573897034
Buck Creek,05/01/2010,3.542,3.542,1,3.542,58443,1,5,2010.0117579908676,1921,2010,0.073810451,0.9972722884605321
Buck Creek,05/01/2021,5.554,5.554,1,5.554,62461,1,5,2021.0117579908676,2053,2021,0.073810451,0.9972722884605327
Buck Creek,06/01/2009,4.39,4.39,1,4.39,58079,1,6,2009.014497716895,1909,2009,0.090965918,0.995854006
Buck Creek,07/01/2020,5.424,5.424,1,5.424,62097,1,7,2020.0171903460837,2041,2020,0.10780024132269872,0.9941725745416476
Buck Creek,08/01/2002,3.348,3.348,1,3.348,55524,1,8,2002.0199771689497,1825,2002,0.12519091171478103,0.9921326703742912
Buck Creek,08/01/2008,6.492,6.492,1,6.492,57715,1,8,2008.019922586521,1897,2008,0.12485065095763347,0.9921755464409789
Buck Creek,08/01/2019,5.062,5.062,1,5.062,61733,1,8,2019.0199771689497,2029,2019,0.1251909117150941,0.9921326703742517
Buck Creek,09/01/2007,6,6,1,6,57351,1,9,2007.022716894977,1885,2007,0.1422502963381232,0.9898307194625332
Buck Creek,09/01/2018,3.683,3.683,1,3.683,61369,1,9,2018.022716894977,2017,2018,0.1422502963381135,0.9898307194625346
Buck Creek,01/10/2010,13.539,13.539,1,13.539,58712,10,275,2010.7487442922375,1930,2011,-0.999968875,-0.007889763
Buck Creek,01/10/2019,10.602,10.602,1,10.602,61999,10,275,2019.7487442922375,2038,2020,-0.999968875,-0.007889763
Buck Creek,11/10/2011,5.786,5.786,1,5.786,59087,10,285,2011.7761415525115,1942,2012,-0.986540904,0.16351466
Buck Creek,11/10/2018,16.655,16.655,1,16.655,61644,10,285,2018.7761415525115,2026,2019,-0.986540904,0.16351465988272615
Buck Creek,12/10/2007,10.905,10.905,1,10.905,57627,10,286,2007.7788812785388,1894,2008,-0.983580102,0.180472113
Buck Creek,12/10/2010,5.984,5.984,1,5.984,58723,10,286,2010.7788812785388,1930,2011,-0.983580102,0.180472113
Buck Creek,13/10/2007,8.671,8.671,1,8.671,57628,10,287,2007.7816210045662,1894,2008,-0.980327843,0.19737608907670762
Buck Creek,13/10/2009,7.109,7.109,1,7.109,58359,10,287,2009.7816210045662,1918,2010,-0.980327843,0.19737608907621954
Buck Creek,13/10/2020,6.457,6.457,1,6.457,62377,10,287,2020.782217668488,2050,2021,-0.979581002,0.20104989350024952
Buck Creek,14/10/2008,4.754,4.754,1,4.754,57995,10,288,2008.7849499089252,1906,2009,-0.97598537,0.21783607884643422
Buck Creek,15/10/2003,11.058,11.058,1,11.058,56169,10,289,2003.787100456621,1846,2004,-0.972952898,0.2310035884211028
Buck Creek,15/10/2005,8.602,8.602,1,8.602,56900,10,289,2005.787100456621,1870,2006,-0.972952898,0.23100358842061838
Buck Creek,15/10/2019,6.856,6.856,1,6.856,62013,10,289,2019.787100456621,2038,2020,-0.972952898,0.23100358842076715
Buck Creek,16/10/2002,8.751,8.751,1,8.751,55805,10,290,2002.7898401826485,1834,2003,-0.968832398,0.24771714750857268
Buck Creek,16/10/2007,6.192,6.192,1,6.192,57631,10,290,2007.7898401826485,1894,2008,-0.968832398,0.24771714750824794
Buck Creek,16/10/2011,9.49,9.49,1,9.49,59092,10,290,2011.7898401826485,1942,2012,-0.968832398,0.24771714750728324
Buck Creek,16/10/2014,13.206,13.206,1,13.206,60188,10,290,2014.7898401826485,1978,2015,-0.968832398,0.24771714750744087
Buck Creek,16/10/2018,9.33,9.33,1,9.33,61649,10,290,2018.7898401826485,2026,2019,-0.968832398,0.24771714750823845
Buck Creek,16/10/2019,7.848,7.848,1,7.848,62014,10,290,2019.7898401826485,2038,2020,-0.968832398,0.24771714750711613
Buck Creek,17/10/2002,8.759,8.759,1,8.759,55806,10,291,2002.7925799086759,1834,2003,-0.964424811,0.26435730265617213
Buck Creek,17/10/2006,4.74,4.74,1,4.74,57267,10,291,2006.7925799086759,1882,2007,-0.964424811,0.2643573026552118
Buck Creek,17/10/2013,7.595,7.595,1,7.595,59824,10,291,2013.7925799086759,1966,2014,-0.964424811,0.26435730265616264
Buck Creek,17/10/2017,6.773,6.773,1,6.773,61285,10,291,2017.7925799086759,2014,2018,-0.964424811,0.26435730265520235
Buck Creek,17/10/2019,14.206,14.206,1,14.206,62015,10,291,2019.7925799086759,2038,2020,-0.964424811,0.26435730265647644
Buck Creek,18/10/2004,4.88,4.88,1,4.88,56538,10,292,2004.795878870674,1858,2005,-0.958738433,0.2842896701442167
Buck Creek,18/10/2005,6.954,6.954,1,6.954,56903,10,292,2005.7953196347032,1870,2006,-0.959731445,0.2809191230298604
Buck Creek,18/10/2016,10.726,10.726,1,10.726,60921,10,292,2016.795878870674,2002,2017,-0.958738433,0.28428967014484063
Buck Creek,19/10/2007,6.49,6.49,1,6.49,57634,10,293,2007.7980593607306,1894,2008,-0.954753689,0.2973977010057762
Buck Creek,02/10/2007,4.452,4.452,1,4.452,57617,10,276,2007.7514840182648,1894,2008,-0.999956528,0.009324227
Buck Creek,02/10/2010,9.674,9.674,1,9.674,58713,10,276,2010.7514840182648,1930,2011,-0.999956528,0.009324227
Buck Creek,02/10/2018,9.473,9.473,1,9.473,61635,10,276,2018.7514840182648,2026,2019,-0.999956528,0.009324227
Buck Creek,20/10/2007,12.198,12.198,1,12.198,57635,10,294,2007.800799086758,1894,2008,-0.94949302,0.3137881536232566
Buck Creek,20/10/2015,7.698,7.698,1,7.698,60557,10,294,2015.800799086758,1990,2016,-0.94949302,0.31378815362309287
Buck Creek,21/10/2003,9.298,9.298,1,9.298,56175,10,295,2003.8035388127853,1846,2004,-0.943950995,0.33008562403966446
Buck Creek,21/10/2007,8.094,8.094,1,8.094,57636,10,295,2007.8035388127853,1894,2008,-0.943950995,0.3300856240387245
Buck Creek,21/10/2014,7.087,7.087,1,7.087,60193,10,295,2014.8035388127853,1978,2015,-0.943950995,0.3300856240396552
Buck Creek,22/10/2001,5.53,5.53,1,5.53,55446,10,296,2001.8062785388129,1822,2002,-0.938129257,0.34628528296307565
Buck Creek,22/10/2002,6.343,6.343,1,6.343,55811,10,296,2002.8062785388129,1834,2003,-0.938129257,0.34628528296198885
Buck Creek,22/10/2013,6.41,6.41,1,6.41,59829,10,296,2013.8062785388129,1966,2014,-0.938129257,0.3462852829619797
Buck Creek,23/10/2005,6.977,6.977,1,6.977,56908,10,297,2005.8090182648402,1870,2006,-0.932029531,0.3623823300822866
Buck Creek,23/10/2007,10.404,10.404,1,10.404,57638,10,297,2007.8090182648402,1894,2008,-0.932029531,0.3623823300818226
Buck Creek,23/10/2012,7.688,7.688,1,7.688,59465,10,297,2012.8095400728598,1954,2013,-0.930836411,0.36543614430732857
Buck Creek,25/10/2005,7.265,7.265,1,7.265,56910,10,299,2005.814497716895,1870,2006,-0.919003427,0.3942495411204847
Buck Creek,25/10/2007,8.024,8.024,1,8.024,57640,10,299,2007.814497716895,1894,2008,-0.919003427,0.3942495411200272
Buck Creek,25/10/2008,11.318,11.318,1,11.318,58006,10,299,2008.815004553734,1906,2009,-0.917743262,0.3971741492264611
Buck Creek,25/10/2011,7.195,7.195,1,7.195,59101,10,299,2011.814497716895,1942,2012,-0.919003427,0.39424954112078375
Buck Creek,26/10/2008,11.844,11.844,1,11.844,58007,10,300,2008.8177367941712,1906,2009,-0.910790008,0.412869908
Buck Creek,26/10/2010,6.713,6.713,1,6.713,58737,10,300,2010.8172374429223,1930,2011,-0.912080909,0.41001026209921704
Buck Creek,27/10/2003,9.389,9.389,1,9.389,56181,10,301,2003.8199771689497,1846,2004,-0.904888122,0.4256494881879452
Buck Creek,27/10/2007,10.117,10.117,1,10.117,57642,10,301,2007.8199771689497,1894,2008,-0.904888122,0.4256494881870442
Buck Creek,27/10/2008,8.887,8.887,1,8.887,58008,10,301,2008.8204690346083,1906,2009,-0.90356834,0.4284439924587757
Buck Creek,27/10/2009,6.666,6.666,1,6.666,58373,10,301,2009.8199771689497,1918,2010,-0.904888122,0.42564948818659365
Buck Creek,28/10/2003,9.559,9.559,1,9.559,56182,10,302,2003.8227168949772,1846,2004,-0.897427197,0.44116258514793977
Buck Creek,28/10/2008,7.71,7.71,1,7.71,58009,10,302,2008.8232012750454,1906,2009,-0.896080386,0.44389181233697667
Buck Creek,28/10/2018,11.879,11.879,1,11.879,61661,10,302,2018.8227168949772,2026,2019,-0.897427197,0.4411625851470374
Buck Creek,28/10/2020,7.53,7.53,1,7.53,62392,10,302,2020.8232012750454,2050,2021,-0.896080386,0.44389181233592984
Buck Creek,29/10/2003,8.932,8.932,1,8.932,56183,10,303,2003.8254566210046,1846,2004,-0.889700345,0.45654495611125334
Buck Creek,29/10/2007,8.057,8.057,1,8.057,57644,10,303,2007.8254566210046,1894,2008,-0.889700345,0.45654495611036744
Buck Creek,29/10/2015,11.768,11.768,1,11.768,60566,10,303,2015.8254566210046,1990,2016,-0.889700345,0.4565449561118323
Buck Creek,29/10/2017,8.188,8.188,1,8.188,61297,10,303,2017.8254566210046,2014,2018,-0.889700345,0.4565449561113894
Buck Creek,29/10/2018,10.036,10.036,1,10.036,61662,10,303,2018.8254566210046,2026,2019,-0.889700345,0.4565449561103587
Buck Creek,29/10/2019,8.86,8.86,1,8.86,62027,10,303,2019.8254566210046,2038,2020,-0.889700345,0.4565449561109464
Buck Creek,03/10/2006,6.66,6.66,1,6.66,57253,10,277,2006.7542237442922,1882,2007,-0.999647873,0.026535453021780592
Buck Creek,03/10/2017,4.484,4.484,1,4.484,61271,10,277,2017.7542237442922,2014,2018,-0.999647873,0.026535453021770794
Buck Creek,30/10/2003,9.376,9.376,1,9.376,56184,10,304,2003.828196347032,1846,2004,-0.881709855,0.47179204295103716
Buck Creek,30/10/2005,7.192,7.192,1,7.192,56915,10,304,2005.828196347032,1870,2006,-0.881709855,0.471792043
Buck Creek,30/10/2007,6.732,6.732,1,6.732,57645,10,304,2007.828196347032,1894,2008,-0.881709855,0.4717920429517631
Buck Creek,30/10/2017,15.53,15.53,1,15.53,61298,10,304,2017.828196347032,2014,2018,-0.881709855,0.471792043
Buck Creek,30/10/2018,9.148,9.148,1,9.148,61663,10,304,2018.828196347032,2026,2019,-0.881709855,0.4717920429517544
Buck Creek,31/10/2003,8.299,8.299,1,8.299,56185,10,305,2003.8309360730593,1846,2004,-0.873458096,0.48689932762799076
Buck Creek,31/10/2006,7.164,7.164,1,7.164,57281,10,305,2006.8309360730593,1882,2007,-0.873458096,0.4868993276265441
Buck Creek,31/10/2013,6.893,6.893,1,6.893,59838,10,305,2013.8309360730593,1966,2014,-0.873458096,0.48689932762740523
Buck Creek,31/10/2017,10.642,10.642,1,10.642,61299,10,305,2017.8309360730593,2014,2018,-0.873458096,0.48689932762653554
Buck Creek,31/10/2019,10.474,10.474,1,10.474,62029,10,305,2019.8309360730593,2038,2020,-0.873458096,0.48689932762768945
