site,Date,ConcLow,ConcHigh,Uncen,ConcAve,Julian,Month,Day,DecYear,MonthSeq,waterYear,SinDY,CosDY
Buck Creek,10/01/2006,0.49,0.49,1,0.49,56987,1,10,2006.0254566210047,1873,2006,0.15926752913192363,0.9872354603458143
Buck Creek,10/01/2017,0.343,0.343,1,0.343,61005,1,10,2017.0254566210047,2005,2017,0.15926752913191394,0.9872354603458159
Buck Creek,11/01/2005,0.512,0.512,1,0.512,56623,1,11,2005.028196347032,1861,2005,0.1762375675177652,0.9843476620561564
Buck Creek,12/01/2016,0.297,0.297,1,0.297,60641,1,12,2016.0308515482695,1993,2016,0.19263427207034825,0.9812706238464123
Buck Creek,12/01/2018,0.655,0.655,1,0.655,61372,1,12,2018.0309360730594,2017,2018,0.19315538290719636,0.9811681803105797
Buck Creek,12/01/2020,0.402,0.402,1,0.402,62102,1,12,2020.0308515482695,2041,2020,0.19263427206937117,0.981270624
Buck Creek,13/01/2004,0.22,0.22,1,0.22,56259,1,13,2004.0335837887067,1849,2004,0.20945070207604388,0.9778192079315339
Buck Creek,13/01/2015,0.599,0.599,1,0.599,60277,1,13,2015.0336757990867,1981,2015,0.21001596219016216,0.9776979572574244
Buck Creek,14/01/2003,0.601,0.601,1,0.601,55895,1,14,2003.036415525114,1837,2003,0.22681430920876247,0.9739380211995792
Buck Creek,14/01/2014,0.729,0.729,1,0.729,59913,1,14,2014.036415525114,1969,2014,0.22681430920875292,0.9739380211995814
Buck Creek,15/01/2013,0.799,0.799,1,0.799,59549,1,15,2013.0391552511417,1957,2013,0.24354544625601157,0.9698894862859171
Buck Creek,17/01/2012,0.778,0.778,1,0.778,59185,1,17,2012.0445127504554,1945,2012,0.2760498840634312,0.9611433095582397
Buck Creek,18/01/2011,0.498,0.498,1,0.498,58821,1,18,2011.0473744292237,1933,2011,0.2932861279575387,0.9560247105319372
Buck Creek,19/01/2010,0.365,0.365,1,0.365,58457,1,19,2010.050114155251,1921,2010,0.3096990682893374,0.9508346265785215
Buck Creek,02/01/2013,0.615,0.615,1,0.615,59536,1,2,2013.0035388127853,1957,2013,0.022233184391712187,0.9997528122049991
Buck Creek,20/01/2009,0.384,0.384,1,0.384,58093,1,20,2009.0528538812785,1909,2009,0.3260202381033452,0.94536279
Buck Creek,21/01/2020,0.319,0.319,1,0.319,62111,1,21,2020.055441712204,2041,2020,0.3413478948111453,0.939937027
Buck Creek,21/01/2021,0.279,0.279,1,0.279,62477,1,21,2021.055593607306,2053,2021,0.34224480108593847,0.9396108216328962
Buck Creek,22/01/2002,0.427,0.427,1,0.427,55538,1,22,2002.0583333333334,1825,2002,0.3583679495455675,0.9335804264970992
Buck Creek,22/01/2008,0.382,0.382,1,0.382,57729,1,22,2008.0581739526413,1897,2008,0.3574328653696521,0.9339388345890968
Buck Creek,22/01/2019,0.272,0.272,1,0.272,61747,1,22,2019.0583333333334,2029,2019,0.3583679495458621,0.9335804264969861
Buck Creek,23/01/2007,0.743,0.743,1,0.743,57365,1,23,2007.0610730593608,1885,2007,0.3743849058470606,0.9272733913328299
Buck Creek,23/01/2018,0.427,0.427,1,0.427,61383,1,23,2018.0610730593608,2017,2018,0.3743849058470515,0.9272733913328336
Buck Creek,24/01/2006,0.637,0.637,1,0.637,57001,1,24,2006.063812785388,1873,2006,0.39029092382245334,0.9206915850499644
Buck Creek,25/01/2005,0.568,0.568,1,0.568,56637,1,25,2005.0665525114155,1861,2005,0.40608129017394523,0.9138369579802866
Buck Creek,25/01/2017,0.35,0.35,1,0.35,61020,1,25,2017.0665525114155,2005,2017,0.4060812901728777,0.913836958
Buck Creek,26/01/2016,0.398,0.398,1,0.398,60655,1,26,2016.0691029143898,1993,2016,0.420672447,0.9072125947259663
Buck Creek,27/01/2004,0.335,0.335,1,0.335,56273,1,27,2004.0718351548269,1849,2004,0.43618397087158384,0.8998575129178493
