Family,Genus,Species,Wood_Density_g_cm3,DBH_mm
Clusiaceae,Symphonia,globulifera,0.588714286,193
Pandanaceae,Pandanus,candelabrum,0.603166331,146
Meliaceae,Carapa,procera,0.6042,105
Putranjivaceae,Drypetes,occidentalis,0.71525,436
Phyllanthaceae,Uapaca,paludosa,0.652,181
Euphorbiaceae,Grossera,macrantha,0.434883333,198
Euphorbiaceae,Grossera,macrantha,0.434883333,307
Putranjivaceae,Drypetes,occidentalis,0.71525,220
Euphorbiaceae,Grossera,macrantha,0.434883333,119
Clusiaceae,Symphonia,globulifera,0.588714286,177
Phyllanthaceae,Bridelia,indet,0.514208333,470
Euphorbiaceae,Grossera,macrantha,0.434883333,454
Sapindaceae,Eriocoelum,microspermum,0.523,185
Meliaceae,Carapa,procera,0.6042,390
Meliaceae,Carapa,procera,0.6042,224
Meliaceae,Carapa,procera,0.6042,910
Fabaceae,Newtonia,devredii,0.586382857,283
Putranjivaceae,Drypetes,occidentalis,0.71525,637
Sapotaceae,Manilkara,fouilloyana,0.861,286
Euphorbiaceae,Grossera,macrantha,0.434883333,165
Sapotaceae,Manilkara,fouilloyana,0.861,910
Euphorbiaceae,Grossera,macrantha,0.434883333,297
Euphorbiaceae,Grossera,macrantha,0.434883333,120
Meliaceae,Carapa,procera,0.6042,150
Phyllanthaceae,Cleistanthus,mildbraedii,0.921,101
Phyllanthaceae,Uapaca,paludosa,0.652,293
Sapotaceae,Manilkara,fouilloyana,0.861,112
Euphorbiaceae,Grossera,macrantha,0.434883333,296
Meliaceae,Carapa,procera,0.6042,220
Meliaceae,Carapa,procera,0.6042,242
Phyllanthaceae,Uapaca,paludosa,0.652,213
Phyllanthaceae,Uapaca,paludosa,0.652,348
Clusiaceae,Symphonia,globulifera,0.588714286,308
Euphorbiaceae,Grossera,macrantha,0.434883333,440
Malvaceae,Sterculia,tragacantha,0.51425,151
Phyllanthaceae,Uapaca,paludosa,0.652,605
Euphorbiaceae,Grossera,macrantha,0.434883333,324
Annonaceae,Xylopia,rubescens,0.59682,148
Rubiaceae,Hallea,stipulosa,0.478714286,337
Phyllanthaceae,Uapaca,paludosa,0.652,199
Euphorbiaceae,Grossera,macrantha,0.434883333,142
Euphorbiaceae,Grossera,macrantha,0.434883333,295
Clusiaceae,Symphonia,globulifera,0.588714286,127
Phyllanthaceae,Cleistanthus,mildbraedii,0.921,163
Euphorbiaceae,Grossera,macrantha,0.434883333,191
Phyllanthaceae,Uapaca,paludosa,0.652,397
Putranjivaceae,Drypetes,occidentalis,0.71525,450
Euphorbiaceae,Grossera,macrantha,0.434883333,281
Sapotaceae,Manilkara,fouilloyana,0.861,229
Phyllanthaceae,Uapaca,paludosa,0.652,840
Euphorbiaceae,Grossera,macrantha,0.434883333,101
Malvaceae,Sterculia,tragacantha,0.51425,282
Euphorbiaceae,Grossera,macrantha,0.434883333,150
Meliaceae,Carapa,procera,0.6042,400
Meliaceae,Carapa,procera,0.6042,132
Phyllanthaceae,Cleistanthus,mildbraedii,0.921,230
Phyllanthaceae,Uapaca,paludosa,0.652,145
Annonaceae,Xylopia,rubescens,0.59682,295
Euphorbiaceae,Grossera,macrantha,0.434883333,272
Phyllanthaceae,Uapaca,paludosa,0.652,369
Meliaceae,Carapa,procera,0.6042,400
Annonaceae,Xylopia,rubescens,0.59682,259
Phyllanthaceae,Uapaca,paludosa,0.652,158
Clusiaceae,Garcinia,smeathmannii,0.771388889,185
Clusiaceae,Symphonia,globulifera,0.588714286,154
Phyllanthaceae,Uapaca,paludosa,0.652,129
Phyllanthaceae,Uapaca,paludosa,0.652,633
Meliaceae,Carapa,procera,0.6042,312
Putranjivaceae,Drypetes,occidentalis,0.71525,285
Putranjivaceae,Drypetes,occidentalis,0.71525,250
Sapotaceae,Chrysophyllum,ubangiense,0.608380247,608
Euphorbiaceae,Grossera,macrantha,0.434883333,141
Phyllanthaceae,Uapaca,paludosa,0.652,114
Euphorbiaceae,Grossera,macrantha,0.434883333,123
Sapotaceae,Manilkara,fouilloyana,0.861,177
Clusiaceae,Symphonia,globulifera,0.588714286,616
Meliaceae,Carapa,procera,0.6042,140
Annonaceae,Xylopia,aethiopica,0.442,680
Meliaceae,Entandrophragma,palustre,0.534896991,303
Indet,Indet,indet,0.603166331,184
Phyllanthaceae,Uapaca,paludosa,0.652,127
Meliaceae,Carapa,procera,0.6042,229
Meliaceae,Carapa,procera,0.6042,205
Phyllanthaceae,Cleistanthus,mildbraedii,0.921,343
Sapotaceae,Chrysophyllum,ubangiense,0.608380247,321
Phyllanthaceae,Uapaca,paludosa,0.652,565
Phyllanthaceae,Uapaca,paludosa,0.652,182
Putranjivaceae,Drypetes,occidentalis,0.71525,107
Meliaceae,Carapa,procera,0.6042,375
Meliaceae,Entandrophragma,palustre,0.534896991,400
Phyllanthaceae,Uapaca,paludosa,0.652,225
Sapotaceae,Manilkara,fouilloyana,0.861,130
Meliaceae,Carapa,procera,0.6042,753
Annonaceae,Xylopia,rubescens,0.59682,230
Euphorbiaceae,Grossera,macrantha,0.434883333,133
Meliaceae,Carapa,procera,0.6042,666
Meliaceae,Carapa,procera,0.6042,107
Fabaceae,Newtonia,devredii,0.586382857,147
Meliaceae,Carapa,procera,0.6042,132
Phyllanthaceae,Uapaca,paludosa,0.652,224
Phyllanthaceae,Uapaca,paludosa,0.652,138
Malvaceae,Sterculia,tragacantha,0.51425,143
Euphorbiaceae,Grossera,macrantha,0.434883333,369
Annonaceae,Xylopia,aethiopica,0.442,199
Fabaceae,Newtonia,devredii,0.586382857,279
Phyllanthaceae,Uapaca,paludosa,0.652,324
Sapotaceae,Manilkara,fouilloyana,0.861,145
Myristicaceae,Coelocaryon,preussii,0.4972,105
Phyllanthaceae,Uapaca,paludosa,0.652,108
Meliaceae,Carapa,procera,0.6042,350
Phyllanthaceae,Cleistanthus,mildbraedii,0.921,136
Meliaceae,Carapa,procera,0.6042,163
Phyllanthaceae,Uapaca,paludosa,0.652,960
Phyllanthaceae,Cleistanthus,mildbraedii,0.921,182
Sapotaceae,Manilkara,fouilloyana,0.861,208
Annonaceae,Xylopia,rubescens,0.59682,155
Annonaceae,Xylopia,aethiopica,0.442,220
Meliaceae,Carapa,procera,0.6042,173
Meliaceae,Carapa,procera,0.6042,296
Euphorbiaceae,Grossera,macrantha,0.434883333,608
Annonaceae,Xylopia,aethiopica,0.442,192
Phyllanthaceae,Uapaca,paludosa,0.652,400
Euphorbiaceae,Grossera,macrantha,0.434883333,348
Meliaceae,Carapa,procera,0.6042,279
Euphorbiaceae,Grossera,macrantha,0.434883333,202
Euphorbiaceae,Grossera,macrantha,0.434883333,327
Malvaceae,Sterculia,tragacantha,0.51425,213
Meliaceae,Carapa,procera,0.6042,116
Phyllanthaceae,Uapaca,paludosa,0.652,383
Sapotaceae,Manilkara,fouilloyana,0.861,525
Annonaceae,Xylopia,aethiopica,0.442,105
Clusiaceae,Symphonia,globulifera,0.588714286,185
Meliaceae,Entandrophragma,palustre,0.534896991,281
Meliaceae,Entandrophragma,palustre,0.534896991,436
Euphorbiaceae,Grossera,macrantha,0.434883333,290
Phyllanthaceae,Uapaca,paludosa,0.652,243
Putranjivaceae,Drypetes,occidentalis,0.71525,605
Euphorbiaceae,Grossera,macrantha,0.434883333,127
Sapotaceae,Manilkara,fouilloyana,0.861,148
Annonaceae,Xylopia,rubescens,0.59682,296
Malvaceae,Sterculia,tragacantha,0.51425,181
Euphorbiaceae,Crotonogyne,giorgii,0.434883333,105
Meliaceae,Carapa,procera,0.6042,147
Meliaceae,Carapa,procera,0.6042,109
Meliaceae,Carapa,procera,0.6042,272
Sapindaceae,Eriocoelum,microspermum,0.523,112
Sapotaceae,Manilkara,fouilloyana,0.861,272
Phyllanthaceae,Uapaca,paludosa,0.652,430
Sapotaceae,Manilkara,fouilloyana,0.861,605
Urticaceae,Musanga,cecropioides,0.242833333,280
Meliaceae,Carapa,procera,0.6042,304
Meliaceae,Carapa,procera,0.6042,143
Meliaceae,Carapa,procera,0.6042,148
Meliaceae,Carapa,procera,0.6042,279
Meliaceae,Carapa,procera,0.6042,278
Clusiaceae,Symphonia,globulifera,0.588714286,244
Annonaceae,Xylopia,rubescens,0.59682,150
Meliaceae,Carapa,procera,0.6042,114
Meliaceae,Carapa,procera,0.6042,607
Sapotaceae,Indet,indet,0.737922763,174
Annonaceae,Xylopia,rubescens,0.59682,285
Euphorbiaceae,Grossera,macrantha,0.434883333,174
Phyllanthaceae,Uapaca,paludosa,0.652,135
Phyllanthaceae,Cleistanthus,mildbraedii,0.921,359
Indet,Indet,indet,0.603166331,597
Meliaceae,Trichilia,welwitschii,0.4825,400
Euphorbiaceae,Grossera,macrantha,0.434883333,890
Putranjivaceae,Drypetes,occidentalis,0.71525,365
Meliaceae,Carapa,procera,0.6042,239
Putranjivaceae,Drypetes,occidentalis,0.71525,108
Annonaceae,Xylopia,rubescens,0.59682,116
Clusiaceae,Symphonia,globulifera,0.588714286,450
Phyllanthaceae,Uapaca,paludosa,0.652,210
Phyllanthaceae,Uapaca,paludosa,0.652,704
Sapindaceae,Eriocoelum,microspermum,0.523,121
Sapotaceae,Manilkara,fouilloyana,0.861,101
Putranjivaceae,Drypetes,occidentalis,0.71525,146
Euphorbiaceae,Grossera,macrantha,0.434883333,295
Euphorbiaceae,Grossera,macrantha,0.434883333,397
Meliaceae,Carapa,procera,0.6042,384
Sapindaceae,Eriocoelum,microspermum,0.523,264
Meliaceae,Carapa,procera,0.6042,113
Meliaceae,Entandrophragma,palustre,0.534896991,305
Euphorbiaceae,Grossera,macrantha,0.434883333,328
Phyllanthaceae,Uapaca,paludosa,0.652,132
Phyllanthaceae,Uapaca,paludosa,0.652,132
Euphorbiaceae,Grossera,macrantha,0.434883333,217
Phyllanthaceae,Uapaca,paludosa,0.652,316
