Family,Species,Wood_Density_g_cm3,DBH_cm,Height_m
Putranjivaceae,Drypetes occidentalis,0.71525,58.4,27.84
Euphorbiaceae,Macaranga spinosa,0.380166667,10.8,14.84
Annonaceae,Xylopia rubescens,0.59682,26.4,12.34
Putranjivaceae,Drypetes occidentalis,0.71525,12.8,9.84
Annonaceae,Xylopia rubescens,0.59682,73.3,34.34
Salicaceae,Casearia barteri,0.508,12.5,20.34
Sapotaceae,Manilkara fouilloyana,0.861,17,15.64
Putranjivaceae,Drypetes occidentalis,0.71525,35.7,11.64
Sapindaceae,Eriocoelum microspermum,0.523,33.4,19.84
Meliaceae,Carapa procera,0.6042,20.9,12.04
Annonaceae,Xylopia rubescens,0.59682,17,15.64
Putranjivaceae,Drypetes occidentalis,0.71525,10,11.84
Annonaceae,Xylopia aethiopica,0.442,12.2,16.84
Annonaceae,Xylopia rubescens,0.59682,10,11.84
Annonaceae,Xylopia rubescens,0.59682,50.1,24.24
Putranjivaceae,Drypetes occidentalis,0.71525,89.3,32.24
Clusiaceae,Symphonia globulifera,0.588714286,12.8,9.84
Clusiaceae,Symphonia globulifera,0.588714286,70.2,20.24
Euphorbiaceae,Grossera macrantha,0.434883333,39.1,18.64
Sapindaceae,Eriocoelum microspermum,0.523,25.3,23.84
Meliaceae,Carapa procera,0.6042,13.5,5.44
Annonaceae,Xylopia rubescens,0.59682,35.7,11.64
Rubiaceae,Indet indet,0.69565607,11.2,13.44
Euphorbiaceae,Macaranga spinosa,0.380166667,10.1,6.04
Putranjivaceae,Drypetes occidentalis,0.71525,21.6,13.04
Ebenaceae,Diospyros gilletii,0.83328125,41.9,19.84
Annonaceae,Xylopia rubescens,0.59682,67,24.64
Meliaceae,Entandrophragma palustre,0.534896991,17,15.64
Putranjivaceae,Drypetes occidentalis,0.71525,13.9,10.04
Annonaceae,Xylopia rubescens,0.59682,16.5,20.84
Annonaceae,Xylopia rubescens,0.59682,16.5,20.84
Rubiaceae,Indet indet,0.69565607,21.6,13.04
Rubiaceae,Indet indet,0.69565607,20.3,23.84
Putranjivaceae,Drypetes occidentalis,0.71525,45.9,19.04
Euphorbiaceae,Macaranga spinosa,0.380166667,45.9,19.04
Meliaceae,Entandrophragma palustre,0.534896991,17.9,7.84
Sapotaceae,Manilkara fouilloyana,0.861,12.4,16.84
Phyllanthaceae,Cleistanthus indet,0.921,12.2,12.24
Clusiaceae,Symphonia globulifera,0.588714286,34.7,16.44
Sapotaceae,Manilkara fouilloyana,0.861,12.1,20.64
Clusiaceae,Symphonia globulifera,0.588714286,32,26.84
Meliaceae,Carapa procera,0.6042,16.5,20.84
Sapindaceae,Eriocoelum microspermum,0.523,22.4,24.34
Annonaceae,Xylopia rubescens,0.59682,12.2,16.84
Phyllanthaceae,Cleistanthus indet,0.921,11.6,11.04
Euphorbiaceae,Macaranga spinosa,0.380166667,17.9,7.84
Sapindaceae,Eriocoelum microspermum,0.523,12.8,8.64
Sapotaceae,Manilkara fouilloyana,0.861,11.7,20.34
Meliaceae,Carapa procera,0.6042,11.6,11.04
Annonaceae,Xylopia rubescens,0.59682,12.8,8.64
Fabaceae,Newtonia devredii,0.586382857,37.3,9.64
Meliaceae,Carapa procera,0.6042,32,26.84
Annonaceae,Xylopia rubescens,0.59682,11.4,14.24
Annonaceae,Xylopia rubescens,0.59682,14,11.84
Sapotaceae,Manilkara fouilloyana,0.861,13.9,10.04
