Family,Species,Wood_Density_g_cm3,DBH_cm,Height_m
Fabaceae,Angylocalyx pynaertii,0.68331525,12.6,15.15
Myristicaceae,Pycnanthus angolensis,0.4089,46,26.95
Olacaceae,Strombosia grandifolia,0.8245,10.1,16.35
Clusiaceae,Garcinia Punctata,0.824,11.7,18.3
Clusiaceae,Garcinia punctata,0.824,12.8,20.05
Ochnaceae,Lophira alata,0.8969,10.2,16.15
Lecythidaceae,Petersianthus macrocarpus,0.6765,16.5,20.35
Clusiaceae,Garcinia Punctata,0.824,47.8,30.64
Ochnaceae,Lophira alata,0.8969,11.7,17.25
Malvaceae,Duboscia macrocarpa,0.47991805,13,17.18
Olacaceae,Strombosiopsis tetrandra,0.663,10.9,18.58
Ochnaceae,Lophira alata ,0.8969,40,28.54
Fabaceae,Angylocalyx pynaertii,0.68331525,69.6,31.43
Myristicaceae,Staudtia kamerunensis,0.793888889,11.7,17.25
Olacaceae,Strombosiopsis tetrandra,0.663,90.6,32.82
Lecythidaceae,Petersianthus macrocarpus,0.6765,11.2,17.28
Olacaceae,Strombosia grandifolia,0.8245,17.2,17.36
Olacaceae,Strombosiopsis tetrandra,0.663,56.8,29.4
Fabaceae,Angylocalyx pynaertii,0.68331525,46,26.52
Irvingiaceae,Irvingia grandifolia,0.8005,65,31.71
Olacaceae,Strombosiopsis tetrandra,0.663,11.1,15.92
Meliaceae,Guarea indet,0.538038889,12.9,16.16
Clusiaceae,Garcinia punctata,0.824,35.3,24.03
Rubiaceae,Massularia acuminata,0.69565607,18.6,22.63
Malvaceae,Cola nitida,0.601095238,21.9,21.53
Meliaceae,Guarea thompsonii,0.551888889,71,33.73
Olacaceae,Strombosiopsis tetrandra,0.663,16.3,19.38
Clusiaceae,Garcinia punctata,0.824,16.5,20.35
Fabaceae,Pterocarpus soyauxii,0.657785714,24.8,24.48
Myristicaceae,Pycnanthus angolensis,0.4089,14.1,18.17
Phyllanthaceae,Uapaca paludosa,0.652,19.2,19.49
Fabaceae,Angylocalyx pynaertii,0.68331525,10.5,18.58
Clusiaceae,Garcinia punctata,0.824,63.3,31.51
Pandaceae,Panda oleosa,0.565,14,17.79
Rubiaceae,Massularia acuminata,0.69565607,16.6,20.23
Olacaceae,Strombosiopsis tetrandra,0.663,12.8,16.32
Passifloraceae,Barteria fistulosa,0.696129254,47.3,30.22
Myristicaceae,Staudtia kamerunensis,0.793888889,11.7,17.25
Irvingiaceae,Desbordesia glaucescens,0.919,12.2,16.3
Myristicaceae,Coelocaryon preussii,0.4972,21.9,19.28
Olacaceae,Strombosiopsis tetrandra,0.663,11.9,19.72
Fabaceae,Angylocalyx pynaertii,0.68331525,20.5,23.61
Myristicaceae,Staudtia kamerunensis,0.793888889,12.2,17.78
Malvaceae,Duboscia macrocarpa,0.47991805,14,18.71
Clusiaceae,Garcinia punctata,0.824,61.5,33.86
Phyllanthaceae,Uapaca paludosa,0.652,17.6,21.59
Fabaceae,Angylocalyx pynaertii,0.68331525,11.2,17.13
Fabaceae,Angylocalyx pynaertii,0.68331525,32.3,26.14
Sapindaceae,Eriocoelum microspermum,0.523,17.7,19.28
Ebenaceae,Diospyros crassiflora,0.8582,10.9,16.08
Olacaceae,Strombosia grandifolia,0.8245,65.7,32.15
Pandaceae,Panda oleosa,0.565,15,17.3
